,queries,labels
168,Necklace accessories,NECKLACE FITTINGS
169,Necklash connections,NECKLACE FITTINGS
170,Ring accessories,RING FITTINGS
171,Ring fittings,RING FITTINGS
172,Accounts made by man,MAN-MADE BEADS
173,Artificial pearls,MAN-MADE BEADS
174,Incrustation,MOTHER-OF-PEARL INLAY
175,Mother -of -pearl inlays,MOTHER-OF-PEARL INLAY
176,Natural stone pieces,NATURAL STONE PIECES
177,Natural stone pieces,NATURAL STONE PIECES
178,Three -dimensional form,3-D SHAPE
179,3D shape,3-D SHAPE
180,Abstract cut,ABSTRACT CUT-OUT
181,Abstract cut,ABSTRACT CUT-OUT
182,Alphabet cuts,ALPHABET CUT-OUT
183,Alphabet cut,ALPHABET CUT-OUT
184,BED SHEET,SHEET
185,Brave,BRAID
186,CABLE,CORD
187,STRING,CORD
188,Lace/cut fabric,LACE FABRIC/TRIMMING
189,Lace / size fabric,LACE FABRIC/TRIMMING
190,Needle tape,NEEDLEWORK RIBBON
191,Needle ribbon,NEEDLEWORK RIBBON
192,Animal hair as filling material,ANIMAL HAIR AS FILLER MATERIAL
193,Animal hair as filling material,ANIMAL HAIR AS FILLER MATERIAL
194,Boning/wiring,BONING/WIRING
195,Boning / wiring,BONING/WIRING
196,Chenille stem,CHENILLE STEM
197,Caterpillar,CHENILLE STEM
198,Elastic rope,ELASTIC CORD
199,Ojales,EYELETS
200,Carnations,EYELETS
201,Fabric stiffness,FABRIC STIFFENING
202,Straid of fabric,FABRIC STIFFENING
203,Feathers,FEATHERS
204,Padded/filling/ladicoría,PADDING/STUFFING/WADDING
205,Package / stuffing / paw,PADDING/STUFFING/WADDING
206,Pom pom,POM POM
207,Sequins,SEQUINS
208,Glitter,SEQUINS
209,Synthetic filling material,SYNTHETIC FILLER MATERIAL
210,Synthetic filling material,SYNTHETIC FILLER MATERIAL
211,Cotton fabric,COTTON FABRIC
212,DAMASCUS,DAMASK
213,Flat fabric,FLAT WOVEN FABRIC
214,Flat woven fabric,FLAT WOVEN FABRIC
215,Leather fabric,FUR FABRIC
216,Fur fabric,FUR FABRIC
217,WOVEN FABRIC,KNITTED FABRIC
218,Knitting,KNITTED FABRIC
219,Leather fabric,LEATHER FABRIC
220,Leather,LEATHER FABRIC
221,LINEN,LINEN FABRIC
222,Linen fabric,LINEN FABRIC
223,Non -woven,NON WOVEN
224,Nonwoven,NON WOVEN
225,SILK CLOTH,SILK FABRIC
226,Silk factory,SILK FABRIC
227,Synthetic/plastic fabric,SYNTHETIC/PLASTIC FABRIC
228,Synthetic / plastic fabric,SYNTHETIC/PLASTIC FABRIC
229,Towel fabric,TERRY CLOTH
230,TEA TOWEL,TERRY CLOTH
231,Velvet,VELOUR
232,Velvet,VELOUR
233,Wool cloth,WOOLLEN FABRIC
234,Woolen,WOOLLEN FABRIC
235,TO HANG UP,HOOK
236,Press studs,PRESS-STUDS
237,Press stuts,PRESS-STUDS
238,Velcro tape,VELCRO TAPE
239,Vecro ribbon,VELCRO TAPE
240,POSTAL CODE,ZIP
241,Zip *: French,ZIP
242,Crochet hook,CROCHET HOOK
243,HOOK,CROCHET HOOK
244,Embroidery needle,EMBROIDERY PUNCH NEEDLE
245,Embroidery,EMBROIDERY PUNCH NEEDLE
246,Ojales blow,EYELET PUNCH
247,Punch,EYELET PUNCH
248,Knit needle,HAND KNITTING NEEDLE
249,Hand knitting needle,HAND KNITTING NEEDLE
250,Sewing needle,HAND SEWING NEEDLE
251,Hand seam,HAND SEWING NEEDLE
252,Macrame bar,MACRAME ROD
253,Macré cane,MACRAME ROD
254,Measurement tape (sewing),MEASURING TAPE (NEEDLEWORK)
255,Measuring ribbon (needle),MEASURING TAPE (NEEDLEWORK)
256,Sewing scissors,NEEDLEWORK SCISSORS
257,Needle scissors,NEEDLEWORK SCISSORS
258,Digadas scissors,PINKING SHEARS
259,Plate shear,PINKING SHEARS
260,Carpet hook,RUG HOOK
261,Carpet hook,RUG HOOK
262,Sewing machine coil,SEWING MACHINE BOBBIN
263,Sewing machine,SEWING MACHINE BOBBIN
264,Sewing machine needle,SEWING MACHINE NEEDLE
265,Sewing machine,SEWING MACHINE NEEDLE
266,Tapiz/embroidery frame,TAPESTRY/EMBROIDERY FRAME
267,Tapestry / Embroidery framework,TAPESTRY/EMBROIDERY FRAME
268,OF,THIMBLE
269,Mercería leg,HABERDASHERY CHALK
270,Chalk,HABERDASHERY CHALK
271,Sewing fabric marking pencil,NEEDLEWORK FABRIC MARKING PENCIL
272,Needle fabric marking pencil,NEEDLEWORK FABRIC MARKING PENCIL
273,Point bag,KNITTING BAG
274,Knitting bag,KNITTING BAG
275,Multipurpose sewing box,MULTI-PURPOSE SEWING BOX
276,Versatile sewing box,MULTI-PURPOSE SEWING BOX
277,Sewing needle box,SEWING NEEDLE CASE
278,Needle sewing breakage,SEWING NEEDLE CASE
279,Sewing,SEWING THREAD BOX
280,Sewing box,SEWING THREAD BOX
281,Embroidery template,EMBROIDERY TEMPLATE
282,Embroidery model,EMBROIDERY TEMPLATE
283,Knit template/crochet,KNITTING/CROCHET TEMPLATE
284,Knit / hook model,KNITTING/CROCHET TEMPLATE
285,Sewing template,NEEDLEWORK STENCIL
286,Needle stencil,NEEDLEWORK STENCIL
287,Paper clothing pattern,PAPER CLOTHING PATTERN
288,Paper clothing model,PAPER CLOTHING PATTERN
289,Mosaic template,PATCHWORK TEMPLATE
290,Patchwork model,PATCHWORK TEMPLATE
291,OLDEST BOY,WOOL
292,Embroidery,EMBROIDERY THREAD
293,Tapiz thread,TAPESTRY THREAD
294,Tapestry,TAPESTRY THREAD
295,Knitting machine (not fed),KNITTING MACHINE (NON POWERED)
296,Knitting machine (not fed),KNITTING MACHINE (NON POWERED)
297,Sewing machine (not fed),SEWING MACHINE (NON POWERED)
298,Sewing machine (not fed),SEWING MACHINE (NON POWERED)
299,Knitting machine (fed),KNITTING MACHINE (POWERED)
300,Knitting machine (powered),KNITTING MACHINE (POWERED)
301,Overlocker (fed),OVERLOCKER (POWERED)
302,Overlocker (powered),OVERLOCKER (POWERED)
303,Sewing machine (fed),SEWING MACHINE (POWERED)
304,Sewing machine (powered),SEWING MACHINE (POWERED)
305,Doll/toy eyes/noses/legs,DOLL/TOY EYES/NOSES/PAWS
306,Doll / toys / nose / legs,DOLL/TOY EYES/NOSES/PAWS
307,Doll/toy hair,DOLL/TOY HAIR
308,Toy doll / hair,DOLL/TOY HAIR
309,Dolls/toy joints,DOLL/TOY JOINTS
310,Toy's showers,DOLL/TOY JOINTS
311,Molded doll/toy face,MOULDED DOLL/TOY FACE
312,Molded doll / toy face,MOULDED DOLL/TOY FACE
313,Scissors for paper crafts,PAPER CRAFT SCISSORS
314,Paper craft scissors,PAPER CRAFT SCISSORS
315,Trine,PAPER CRIMPER
316,Prompt,PAPER CRIMPER
317,Quilling tool,QUILLING TOOL
318,Quilling tool,QUILLING TOOL
319,Shine powder,GLITTER DUST
320,Glitter dust,GLITTER DUST
321,Music button card insert,MUSIC BUTTON CARD INSERT
322,Music button card insert,MUSIC BUTTON CARD INSERT
323,Shooting,QUILLING STRIP
324,Quilling band,QUILLING STRIP
325,BENEN,BAREN
326,Baren,BAREN
327,ROLLER,BRAYER
328,Bray,BRAYER
329,Input plate,INKING PLATE
330,Ink plate,INKING PLATE
331,Stick,RUBBING STICK
332,Scrub,RUBBING STICK
333,INCORPORATED,BUILT-IN
334,Integrated,BUILT-IN
335,Independent (mobile),FREESTANDING (MOVABLE)
336,Self -supporting (mobile),FREESTANDING (MOVABLE)
337,Network electricity,MAINS ELECTRICITY
338,Main electricity,MAINS ELECTRICITY
339,TABLE,TABLE TOP
340,Over the table,TABLE TOP
341,Clay gun,CLAY GUN
342,Clay gun,CLAY GUN
343,Clay/ceramic spatula,CLAY/POTTERY SPATULA
344,Clay / pottery spatula,CLAY/POTTERY SPATULA
345,Immersion tweezers,DIPPING TONGS
346,Soaking,DIPPING TONGS
347,Knife,FETTLING KNIFE
348,Knife,FETTLING KNIFE
349,Ceramic brush,POTTERY BRUSH
350,Pottery,POTTERY BRUSH
351,Ceramic rib,POTTERY RIB
352,Pottery coast,POTTERY RIB
353,Chisel of sculptors,SCULPTORS CHISEL
354,Sculptor,SCULPTORS CHISEL
355,Gubia sculptors,SCULPTORS GOUGE
356,Gouge sculptors,SCULPTORS GOUGE
357,Sculptor hammer,SCULPTORS HAMMER
358,Hammer sculptors,SCULPTORS HAMMER
359,Sculptor mallet,SCULPTORS MALLET
360,Mallet sculptors,SCULPTORS MALLET
361,Rasp sculptors,SCULPTORS RASP
362,The sculptors ray,SCULPTORS RASP
363,Rifflers sculptors,SCULPTORS RIFFLERS
364,Sculptors rifflers,SCULPTORS RIFFLERS
365,Wire end modeling tool,WIRE END MODELLING TOOL
366,End modeling tool,WIRE END MODELLING TOOL
367,Pneumatic grinder,PNEUMATIC GRINDER
368,Pneumatic crusher,PNEUMATIC GRINDER
369,Pneumatic hammer,PNEUMATIC HAMMER
370,Pneumatic hammer,PNEUMATIC HAMMER
371,Pneumatic hose kit,PNEUMATIC HOSE KIT
372,Pneumatic pipe kit,PNEUMATIC HOSE KIT
373,Air hardening clay,AIR HARDENING CLAY
374,Hardening clay in the air,AIR HARDENING CLAY
375,Carved marble,CARVING MARBLE
376,Marble sculpture,CARVING MARBLE
377,Foam molding,FOAM MOULDING
378,Foam molding,FOAM MOULDING
379,CLAY,MODELLING CLAY
380,Plasticine,MODELLING CLAY
381,Salt mass,SALT DOUGH
382,Salt dough,SALT DOUGH
383,Alabastro sculptors,SCULPTORS ALABASTER
384,ALBASTER SCULPTORS,SCULPTORS ALABASTER
385,Calcita sculptors,SCULPTORS CALCITE
386,Calcite sculptors,SCULPTORS CALCITE
387,Sculptor pebble,SCULPTORS LIMESTONE
388,Limestone sculptors,SCULPTORS LIMESTONE
389,Etuantio of sculptors,SCULPTORS SOAPSTONE
390,Soapstone sculptors,SCULPTORS SOAPSTONE
391,Steatita sculptors,SCULPTORS STEATITE
392,Steate sculptors,SCULPTORS STEATITE
393,Wire mesh molding,WIRE MESH MOULDING
394,Mesh molding,WIRE MESH MOULDING
395,Bank of looms,LOOM BENCH
396,Loom,LOOM BENCH
397,Loom stand,LOOM STAND
398,Mechanism stand,LOOM STAND
399,SHUTTLE BUS,SHUTTLE
400,Urdimbre,WARP BEAM
401,Deformation beam,WARP BEAM
402,Fabric comb,WEAVING COMB
403,Weaving comb,WEAVING COMB
404,Fabric needle,WEAVING NEEDLE
405,Weaving needle,WEAVING NEEDLE
406,Fabric pattern,WEAVING PATTERN
407,Weaving pattern,WEAVING PATTERN
408,Rotating fiber,SPINNING FIBRE
409,Rotation fiber,SPINNING FIBRE
410,Tissue thread,WEAVING YARN
411,Weaving wire,WEAVING YARN
412,Linen/linen,LINEN/FLAX
413,LIN / LIN,LINEN/FLAX
414,Floor loom,FLOOR LOOM
415,Flooring,FLOOR LOOM
416,Lap loom,LAP LOOM
417,Lap,LAP LOOM
418,Table loom,TABLE LOOM
419,Loom,TABLE LOOM
420,Fabric frame,WEAVING FRAME
421,Weaving framework,WEAVING FRAME
422,Electronic traction,ELECTRONIC LOOM
423,Electronic loom,ELECTRONIC LOOM
424,Electronic wheel,ELECTRONIC SPINNING WHEEL
425,Electronic spinning wheel,ELECTRONIC SPINNING WHEEL
426,Chisel engraving (not enhanced),ENGRAVING CHISEL (NON POWERED)
427,Engraving chicker (not powered),ENGRAVING CHISEL (NON POWERED)
428,Iron of burning of firewood (without power),WOOD BURNING BRANDING IRON (NON POWERED)
429,Wooden brand iron (not powered),WOOD BURNING BRANDING IRON (NON POWERED)
430,DRUMS,BATTERY
431,Chisel engraving (fed),ENGRAVING CHISEL (POWERED)
432,Engraving chicker (powered),ENGRAVING CHISEL (POWERED)
433,Iron Burn brand (fed),WOOD BURNING BRANDING IRON (POWERED)
434,Wooden brand iron (Powered),WOOD BURNING BRANDING IRON (POWERED)
435,Audio converter,AUDIO CONVERTER
436,Audio converter,AUDIO CONVERTER
437,Video converter,VIDEO CONVERTER
438,Video converter,VIDEO CONVERTER
439,CHOPPED UP,CORDED
440,Capricious,CORDED
441,WITHOUT CABLE,CORDLESS
442,WIRELESS,CORDLESS
443,Bluetooth,BLUETOOTH
444,Bluetooth,BLUETOOTH
445,UHF analogous,UHF ANALOGUE
446,UHF analog,UHF ANALOGUE
447,UHF Digital,UHF DIGITAL
448,Digital UHF,UHF DIGITAL
449,Cabling,WIRED
450,Cable,WIRED
451,Digital wiring,WIRED DIGITAL
452,Digital digital,WIRED DIGITAL
453,IN THE EAR,IN-EAR
454,In the ear,IN-EAR
455,In the ear with headband,ON-EAR WITH HEADBAND
456,Wave with headband,ON-EAR WITH HEADBAND
457,Overia with headband,OVER-EAR WITH HEADBAND
458,Above-dear with the banner,OVER-EAR WITH HEADBAND
459,CD/DVD album box,CD/DVD ALBUM BOX
460,CD / DVD album box,CD/DVD ALBUM BOX
461,CD/DVD Box/Box,CD/DVD BAG/CASE
462,CD / Bag / DVD case,CD/DVD BAG/CASE
463,CD/DVD wallet,CD/DVD WALLET
464,CD / DVD portfolio,CD/DVD WALLET
465,Memory card/case box,MEMORY CARD BOX/CASE
466,Memory card / box,MEMORY CARD BOX/CASE
467,MP3/Bag iPod,MP3/IPOD BAG
468,MP3 / iPod bag,MP3/IPOD BAG
469,Universal visual audio equipment bag,UNIVERSAL AUDIO VISUAL EQUIPMENT BAG
470,Universal visual audio equipment bag,UNIVERSAL AUDIO VISUAL EQUIPMENT BAG
471,USB stick bag,USB STICK BAG
472,USB stick bag,USB STICK BAG
473,Plastic/synthetic,PLASTIC/SYNTHETIC
474,Plastic / synthetic,PLASTIC/SYNTHETIC
475,Visual audio cleaning,AUDIO VISUAL CLEANING WIPE
476,Visual audio cleaning towel,AUDIO VISUAL CLEANING WIPE
477,Cassette cleaning fluid,CASSETTE CLEANING FLUID
478,Cassette cleaning liquid,CASSETTE CLEANING FLUID
479,Cassette head cleaning tool,CASSETTE HEAD CLEANING TOOL
480,Cassette cleaning tool,CASSETTE HEAD CLEANING TOOL
481,CD lens cleanser,CD LENS CLEANER
482,CD cleaning CD,CD LENS CLEANER
483,CND/DVD/MD Restorer Polish,CD/DVD/MD RESTORER POLISH
484,CD / DVD / MD RESTORHER Polish,CD/DVD/MD RESTORER POLISH
485,Compressed air filter,COMPRESSED AIR CLEANER
486,Compressed air,COMPRESSED AIR CLEANER
487,Mini dv cleaning cassette,MINI DV CLEANING CASSETTE
488,Mini DV cleaning cassette,MINI DV CLEANING CASSETTE
489,MP3 cleaner,MP3 CLEANER
490,Clean mp3,MP3 CLEANER
491,Cassette VHS head Cleaner,VHS CASSETTE HEAD CLEANER
492,VHS cassette Head Cleaner,VHS CASSETTE HEAD CLEANER
493,Disco labeling set,DISC LABELLING SET
494,Disk labeling set,DISC LABELLING SET
495,Disc labeling/embedding template,DISC LABELLING TEMPLATE/INLAY
496,Disk labeling / inlay model,DISC LABELLING TEMPLATE/INLAY
497,Microphone support,MICROPHONE STAND
498,Microphone stand,MICROPHONE STAND
499,MP3 support,MP3 HOLDER
500,MP3 holder,MP3 HOLDER
501,Speakers,SPEAKER STAND
502,Loud speaker,SPEAKER STAND
503,Speakers wall support,SPEAKER WALL BRACKET
504,Loudspeaker,SPEAKER WALL BRACKET
505,TV headdresses,TV TURNTABLE
506,TV TRIPTABLE,TV TURNTABLE
507,TV wall support,TV WALL STAND
508,TV wall support,TV WALL STAND
509,8 mm to VHS,8MM TO VHS
510,8 mm in VHS,8MM TO VHS
511,VHS-C a VHS,VHS-C TO VHS
512,VHS-C in VHS,VHS-C TO VHS
513,Condenser microphone,CONDENSER MICROPHONE
514,Capacitor microphone,CONDENSER MICROPHONE
515,Dynamic microphone,DYNAMIC MICROPHONE
516,Dynamic microphone,DYNAMIC MICROPHONE
517,Tape microphone,RIBBON MICROPHONE
518,Ribbon microphone,RIBBON MICROPHONE
519,Microphone,CLIP MICROPHONE
520,Clip microphone,CLIP MICROPHONE
521,Hand microphone,HAND MICROPHONE
522,Hand microphone,HAND MICROPHONE
523,Table microphone,TABLE MICROPHONE
524,Table microphone,TABLE MICROPHONE
525,2 ports,2 PORT
526,2 ports,2 PORT
527,4 ports,4 PORT
528,4 ports,4 PORT
529,8 ports,8 PORT
530,8 ports,8 PORT
531,Audio switch desktop connection,AUDIO SWITCHER DESK CONNECTION
532,Audio switch office connection,AUDIO SWITCHER DESK CONNECTION
533,VIDEACAMARAS CONNECTION,CAMCORDER CONNECTION
534,Camcorder,CAMCORDER CONNECTION
535,DVD connection,DVD CONNECTION
536,DVD connection,DVD CONNECTION
537,Freeview connection,FREEVIEW CONNECTION
538,FreeView connection,FREEVIEW CONNECTION
539,Game console connection,GAMES CONSOLE CONNECTION
540,Connection of the game console,GAMES CONSOLE CONNECTION
541,Speaker switch connection,LOUDSPEAKER SWITCHER CONNECTION
542,Speaker switch,LOUDSPEAKER SWITCHER CONNECTION
543,Satellite connection,SATELLITE CONNECTION
544,Satellite connection,SATELLITE CONNECTION
545,Cassette video recorder connection,VIDEO CASSETTE RECORDER CONNECTION
546,Video cassette recorder connection,VIDEO CASSETTE RECORDER CONNECTION
547,Learning remote control,LEARNING REMOTE CONTROL
548,Distance learning,LEARNING REMOTE CONTROL
549,Preprogrammed remote control,PRE-PROGRAMMED REMOTE CONTROL
550,Pre-programmed remote control,PRE-PROGRAMMED REMOTE CONTROL
551,Programmable remote control,PROGRAMMABLE REMOTE CONTROL
552,Programmable remote control,PROGRAMMABLE REMOTE CONTROL
553,Remote touch screen control,TOUCH SCREEN REMOTE CONTROL
554,Touch screen remote control,TOUCH SCREEN REMOTE CONTROL
555,Analogous thing,ANALOG
556,0 Transmitter/1 Receiver,0 TRANSMITTER/1 RECEIVER
557,0 transmitter / 1 receiver,0 TRANSMITTER/1 RECEIVER
558,1 transmitter/1 receiver,1 TRANSMITTER/1 RECEIVER
559,1 transmitter / 1 receiver,1 TRANSMITTER/1 RECEIVER
560,1 transmitter/2 receivers,1 TRANSMITTER/2 RECEIVERS
561,1 transmitter / 2 receivers,1 TRANSMITTER/2 RECEIVERS
562,BOOSTER,AMPLIFIER
563,Preamplifier,PRE-AMPLIFIER
564,PREAMPLIFIER,PRE-AMPLIFIER
565,Player/recorder,PLAYER/RECORDER
566,Player / recorder,PLAYER/RECORDER
567,UNIQUE,SINGLE
568,DOUBLE,TWIN
569,Beats per minute (BPM) counter,BEATS PER MINUTE (BPM) COUNTER
570,Beats per minute (BPM) Comptoir,BEATS PER MINUTE (BPM) COUNTER
571,Slipmat,SLIPMAT
572,Briefing,SLIPMAT
573,Rotating cartridge,TURNTABLE CARTRIDGE
574,Platinum cartridge,TURNTABLE CARTRIDGE
575,Girdonal pencil,TURNTABLE STYLUS
576,Platinum stylus,TURNTABLE STYLUS
577,Gramophone/vinyl record,GRAMOPHONE/VINYL RECORD
578,Gramophone / vinyl record,GRAMOPHONE/VINYL RECORD
579,Infectious mononucleosis,MONO
580,RECIPIENT,RECEIVER
581,Medium range controller,MID-RANGE DRIVER
582,Mid -range driver,MID-RANGE DRIVER
583,SATELITE,SATELLITE
584,Subwoofer,SUBWOOFER
585,Subwoofer,SUBWOOFER
586,Tweeter,TWEETER
587,Tweeter,TWEETER
588,2 channels,2 CHANNELS
589,2 channels,2 CHANNELS
590,3 channels,3 CHANNELS
591,3 channels,3 CHANNELS
592,4 channels,4 CHANNELS
593,4 channels,4 CHANNELS
594,5 channels,5 CHANNELS
595,5 channels,5 CHANNELS
596,6 channels,6 CHANNELS
597,6 channels,6 CHANNELS
598,7 channels,7 CHANNELS
599,7 channels,7 CHANNELS
600,8 channels,8 CHANNELS
601,8 channels,8 CHANNELS
602,Micro-micro,MICRO
603,Midi,MIDI
604,Midday,MIDI
605,Mini,MINI
606,More than three pieces,MORE THAN THREE PIECES
607,More than three rooms,MORE THAN THREE PIECES
608,One -piece system,ONE PIECE SYSTEM
609,Unique system,ONE PIECE SYSTEM
610,Three -piece system,THREE PIECE SYSTEM
611,Three -part system,THREE PIECE SYSTEM
612,Two -piece system,TWO PIECE SYSTEM
613,Two -piece system,TWO PIECE SYSTEM
614,Combined unit,COMBINED UNIT
615,Combined unit,COMBINED UNIT
